abstain_tokens,aye_tokens,delegates,is_active,last_vote_time,nay_tokens,support_ratio_pct,total_tokens_cast,total_votes,voter,voter_name,voter_type
0.0,0.0,,True,2024-03-07 20:14:48.000 UTC,0.0,0.0,0.0,1,16evzJM57dUQEHjSQ8U6dqFmk12zsTRA166aXx29DXk3NVLT,16ev...NVLT,Direct Voter
0.0,1.0,,True,2024-01-18 22:37:06.000 UTC,0.0,100.0,1.0,1,13x2cK6U39FffnDQF7pH2seveGg83isNf6dN6VutBUysmZ5S,13x2...mZ5S,Direct Voter
0.0,0.0,,True,2024-01-30 20:16:36.000 UTC,0.0,0.0,0.0,1,1LG6VAeGNMWDMamfaj9TmrBBCkEZuX9hh56o4FWwyfpHF2h,1LG6...HF2h,Direct Voter
0.0,0.0,,True,2024-04-30 08:39:12.000 UTC,3.0,0.0,3.0,1,143agpA5BtGGDgzVpt7sbhStJcEk636ALqLqz7BugL4m9hPm,143a...9hPm,Direct Voter
0.0,0.0,,True,2025-02-02 12:28:42.000 UTC,0.0,0.0,0.0,1,13TKtLLrJFSqb82nShuRBemBqnZHBmAAveP4hRKHVGAUQ9my,13TK...Q9my,Direct Voter
0.0,0.0,,True,2024-03-14 22:06:42.000 UTC,0.0,0.0,0.0,1,14j4N56UAw6TcEAaH7aQQ4BxKoHhwLVHMwrZk3F8fSR3NgCY,14j4...NgCY,Direct Voter
0.0,1.0,,True,2024-03-04 12:23:06.000 UTC,0.0,100.0,1.0,1,1Z5MEE7k3DNvEsMeZKiy1gbVY33b6XQfYFyBDpgzyfGADyv,1Z5M...ADyv,Direct Voter
0.0,14.0,,True,2024-05-16 20:49:36.000 UTC,0.0,100.0,14.0,1,16JzBxJPGceeJG3dPNEBM2FnL5d43VWHoC4Cq2Jw5cBFcVpM,16Jz...cVpM,Direct Voter
0.0,0.0,,True,2024-12-19 08:49:30.000 UTC,2020.46,0.0,2020.46,1,15FsFzyQoryuSKbLvG4nkPg81i6u2RzbkSTA77tvrEXVLkdU,15Fs...LkdU,Direct Voter
0.0,3.9,,True,2024-02-01 02:52:18.000 UTC,0.0,100.0,3.9,1,12q3qFw3Uaz76CCtJz6KwLFQiWSKdXkj3Zy82f7V1HdxKfJW,12q3...KfJW,Direct Voter
0.0,70.0,,True,2024-01-16 12:26:54.000 UTC,0.0,100.0,70.0,1,12W9hzmtNcxDnmfj5RfEJi74ganxr4rrsUXVTdoV6szS4Rjo,12W9...4Rjo,Direct Voter
0.0,8.0,,True,2024-04-25 14:22:42.000 UTC,0.0,100.0,8.0,1,1ZYq7qWxvqC1rE4PKnTWwoVJYLtn99p9JM9cUn2WqbWr3Jt,Edward Mack,Direct Voter
0.0,1.51,,True,2024-11-23 14:14:54.000 UTC,0.0,100.0,1.51,1,15rcQf4FdD5kzuLff2NmC5jXpmFK7nx8g3tTvuqiUAeCCPUW,15rc...CPUW,Direct Voter
0.0,1.0,,True,2024-01-03 14:48:54.000 UTC,0.0,100.0,1.0,1,1v3gxPkN8j7bRko2MLsED1JtYqmWUUcp42xkfr5nEY6QTRe,1v3g...QTRe,Direct Voter
0.0,2083.75,,True,2024-07-04 08:53:36.000 UTC,0.0,100.0,2083.75,1,15Csfn5X53KMj4oYcSxRo3STb4ivjRBx3LTJhre3gLrtnGvm,15Cs...nGvm,Direct Voter
0.0,0.1,,True,2025-01-24 02:55:30.000 UTC,0.0,100.0,0.1,1,14BfeMFFADT3gCx6f3zVmZcWQ4nLdy8Dbcvwi8jWFJJdJyMd,14Bf...JyMd,Direct Voter
0.0,14.0,,True,2024-12-07 18:47:12.000 UTC,0.0,100.0,14.0,1,14M8cgGfF631hwQd8A8rNBq24RtUvQ9LE3Ku5cyTMbxzmRvS,14M8...mRvS,Direct Voter
0.0,0.0,,True,2024-02-17 12:29:06.000 UTC,0.0,0.0,0.0,1,13x15NkTc962yMsKEyfCVfW5RWWGcN3KALKGeczLQYg9KrmN,13x1...KrmN,Direct Voter
0.0,0.0,,True,2024-03-13 15:53:54.000 UTC,0.05,0.0,0.05,1,13iX4TkvByp5jt4R22nFMCDmhyxHTGtqdDXprsgNi6r5245R,13iX...245R,Direct Voter
0.0,1500.0,,True,2024-04-11 10:46:36.000 UTC,0.0,100.0,1500.0,1,14XceQ1z6fAEtEueP4FhstPs6i8cFvaZmnbyCrVCzVRhZzkr,14Xc...Zzkr,Direct Voter
0.0,0.0,,True,2025-04-10 07:50:54.000 UTC,15.0,0.0,15.0,1,162bCUcNCEkFJdn8bp2XnuoPXusDisbhJAntbUH1ctDfu88a,162b...u88a,Direct Voter
0.0,2.2,,True,2025-05-03 11:56:24.000 UTC,0.0,100.0,2.2,1,15rW1bwfnAU3p9e4b4GhKoYSnrB6rnA7GUHTgoLBtHR7kbfy,15rW...kbfy,Direct Voter
0.0,1.0,,True,2023-06-16 11:53:42.000 UTC,0.0,100.0,1.0,1,156JyaMzueGwAAbiNAcB1r1pBFG4EqMBYzaZZXYqg8bBYfEN,156J...YfEN,Direct Voter
0.0,1.0,,True,2024-12-07 04:08:48.000 UTC,0.0,100.0,1.0,1,13BdRp6U3TTaRRg3YwDGSWGS81NsjGJs1S2wdtyKsWCAgst2,13Bd...gst2,Direct Voter
0.0,0.0,,True,2024-01-20 13:08:36.000 UTC,0.0,0.0,0.0,1,152atUGFGQNHGVNFp4SMCNffWex2tU4nz3wFeRG7tcXwbfrA,152a...bfrA,Direct Voter
0.0,1.0,,True,2024-02-08 10:24:48.000 UTC,0.0,100.0,1.0,1,123LMGoqwTNcs5XAWPwZM1faboCaJndaLswfzVDiy9t37NVJ,123L...7NVJ,Direct Voter
0.0,0.0,,True,2024-09-10 05:42:42.000 UTC,0.0,0.0,0.0,1,13sWZr1bWJjeDS8Ns3sj2xXcCbgaJGbEKc9Bi5SubfmAT7T2,13sW...T7T2,Direct Voter
0.0,0.0,,True,2024-02-07 01:46:54.000 UTC,0.0,0.0,0.0,1,16SSsEVBJfpDpV9LJ9jeRT2BMWXHhdhaHUiXxWrjBenAvwes,16SS...vwes,Direct Voter
0.0,47.0,,True,2024-05-18 12:35:24.000 UTC,0.0,100.0,47.0,1,15JQrpGJgowWvFceXyBkUz7tud6ZuUp1wuKkAvNmnkfSdyhp,15JQ...dyhp,Direct Voter
0.0,2422.71,,True,2025-06-14 14:36:24.000 UTC,0.0,100.0,2422.71,1,12E21utrWHE6vFLrEunQnXtXtigG3MB4F6HXyyhMgrr7293S,12E2...293S,Direct Voter
0.0,0.0,,True,2023-08-04 12:09:12.000 UTC,0.0,0.0,0.0,1,16FU44RMv1bcnksKdxGm1sPeCA2yo4wsntMWo3jMQ5nykyXN,16FU...kyXN,Direct Voter
0.0,0.0,,True,2024-05-22 10:16:36.000 UTC,0.0,0.0,0.0,1,14opBiHpcQTBEDyCMh8ed4vkE32XDw9n7Z8i5QYso55CHYJz,14op...HYJz,Direct Voter
0.0,0.1,,True,2024-01-31 07:49:18.000 UTC,0.0,100.0,0.1,1,15uQntjMUgLwAKiJz32Z8N4xhEKGEJrrMckQGM8xtyk4rHhM,15uQ...rHhM,Direct Voter
0.0,24.9,,True,2023-10-04 03:24:18.000 UTC,0.0,100.0,24.9,1,15gFbA57YAf8JXBL2EJSrmAJtAF34WtDnh2ucdmTCR4UfexV,15gF...fexV,Direct Voter
0.0,70.0,,True,2023-11-08 10:54:48.000 UTC,0.0,100.0,70.0,1,12NCX9ZK1z9fxBfRraD6L4V86EmPipSerHnPcsj1k4hSkszg,IBC Media,Direct Voter
0.0,1.0,,True,2024-11-04 23:26:00.000 UTC,0.0,100.0,1.0,1,13NKrFA8VPLh1956vCnKi2BwxvxpPNMMmxRLzEZDdBDv2G66,13NK...2G66,Direct Voter
0.0,10.0,,True,2023-12-28 08:40:18.000 UTC,0.0,100.0,10.0,1,14b2fNaYhU4sNdqhfZrP3vYjg3aFwpq3JFVvuqwbfEFtSZn8,Jack Haldorsson,Direct Voter
0.0,2217.0,,True,2024-01-19 21:19:42.000 UTC,0.0,100.0,2217.0,1,1ZTgj6aZgMk66A8hjg95GWV3ctt55dxe14sXNCKWAxAS6fP,1ZTg...S6fP,Direct Voter
0.0,10.0,,True,2024-01-08 11:49:06.000 UTC,0.0,100.0,10.0,1,12TnA2TyEaQqzBrdRT873a3x9wNXzYFKaJAAvCWVC6N7cHGZ,12Tn...cHGZ,Direct Voter
0.0,10.0,,True,2023-12-01 18:31:12.000 UTC,0.0,100.0,10.0,1,17SGBSTDeB55jcHzWAhXjwQ4yTLSLffQujsbJA8qbuUerPi,17SG...erPi,Direct Voter
0.0,1097.88,,True,2024-04-27 04:28:24.000 UTC,0.0,100.0,1097.88,1,12zZgpnm5bHhBwGgstrxX9xruC3KdLHhdiSouyww66KzS5xf,12zZ...S5xf,Direct Voter
0.0,445.0,,True,2023-06-20 09:52:12.000 UTC,0.0,100.0,445.0,1,16HvU89bMMbQJGt7QBeqZjRDsgMs8vgRxKhwGZqrjVBaUAdB,16Hv...UAdB,Direct Voter
0.0,0.0,,True,2023-12-24 11:50:48.000 UTC,0.0,0.0,0.0,1,14fy6spdkGmeQQsBEE8P6L9cQHgn6R9H6MqUD9xs6oykvxmq,14fy...vxmq,Direct Voter
0.0,1.97,,True,2024-04-22 23:21:36.000 UTC,0.0,100.0,1.97,1,13ThRbXdbRyunTQo6S5nNbv7hhCNjeU3NCdpM5TB1sN4G9CG,13Th...G9CG,Direct Voter
0.0,0.0,,True,2024-02-15 02:57:00.000 UTC,0.0,0.0,0.0,1,12Ki1LjMgXTarFxbzUUXXyTYuABymm8NHprExqZF7g4gWUB6,12Ki...WUB6,Direct Voter
0.0,0.1,,True,2023-08-10 14:31:18.000 UTC,0.0,100.0,0.1,1,12rZBqTSTKFatcEb5BexHB9G2fJVg2hgeCV6U9pYtXtZqHYU,12rZ...qHYU,Direct Voter
0.0,0.1,,True,2024-01-13 21:55:00.000 UTC,0.0,100.0,0.1,1,1Qbvg1S3bHonZmBVL5xpbVdSyuqX1hsccZnpmiyjgneFKTt,1Qbv...FKTt,Direct Voter
0.0,0.0,,True,2025-06-04 19:45:36.000 UTC,0.0,0.0,0.0,1,14i7K9EE6uVgNE1nVxcj7dheLYdYwytnUmuFUebgugMfUJCg,14i7...UJCg,Direct Voter
